climate_zone,city,building_type,parameter,variant,wwr_target,u_factor,shgc,infil_rate,peak_heat_mult,peak_cool_mult,annual_heat_mult,annual_cool_mult,combined_peak_mult,baseline_peak_heat_kW,baseline_peak_cool_kW,baseline_annual_heat_MWh,baseline_annual_cool_MWh
3A,atlanta,apartment_highrise,wwr,wwr_20pct,0.2,2.06120838,0.378,0.000569572250459736,1.0,1.0,1.0,1.0,1.0,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,equipment,equip_high,0.2,2.06120838,0.378,0.000569572250459736,0.9995,1.0005,0.9935,1.0015,1.0,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,equipment,equip_low,0.2,2.06120838,0.378,0.000569572250459736,1.0003,0.9997,1.0033,0.9993,1.0,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,glazing,double_low_e,0.2,2.06120838,0.378,0.000569572250459736,1.0,1.0,1.0,1.0,1.0,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,glazing,double_pane,0.2,3.0,0.7,0.000569572250459736,1.0761,1.2178,0.9305,1.4463,1.1447,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,glazing,single_pane,0.2,5.8,0.86,0.000569572250459736,1.5171,1.3739,1.7142,1.591,1.4437,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,glazing,triple_low_e,0.2,0.85,0.2,0.000569572250459736,0.7881,0.8834,0.7055,0.8145,0.8344,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,infiltration,leaky,0.2,2.06120838,0.378,0.00114,1.5413,1.1664,1.9662,0.9974,1.3408,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,infiltration,standard,0.2,2.06120838,0.378,0.000569572250459736,1.0,1.0,1.0,1.0,1.0,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,infiltration,tight,0.2,2.06120838,0.378,0.000285,0.707,0.9112,0.6101,1.0087,0.8026,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,lighting,lighting_high,0.2,2.06120838,0.378,0.000569572250459736,0.8553,1.0851,0.5585,1.2788,0.9633,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,lighting,lighting_low,0.2,2.06120838,0.378,0.000569572250459736,1.1177,0.9139,1.6864,0.7563,1.0107,159.9,261.44,50.801,407.413
3A,atlanta,apartment_highrise,people,people_high,0.2,2.06120838,0.378,0.000569572250459736,0.9996,1.0002,0.9992,1.0015,0.9999,159.9,261.44,50.801,407.413
