building_type,city,climate_zone,category,variant,variant_description,peak_heat_kW,peak_cool_kW,annual_heat_MWh,annual_cool_MWh,heat_multiplier_vs_baseline,cool_multiplier_vs_baseline
large_office,atlanta,3A,Window-to-Wall Ratio,wwr_20pct,20% (baseline),400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Glazing Type,glaz_double_low_e,"Double low-E (post-2000, baseline)",400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Infiltration,infil_standard,Standard (baseline),400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Equipment Power Density,equip_high,2.0× baseline,400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Equipment Power Density,equip_low,0.5× baseline,400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Glazing Type,glaz_double_pane,Double clear pane (pre-2000),443.95,2078.85,33.925,6421.15,1.107,1.178
large_office,atlanta,3A,Glazing Type,glaz_single_pane,Single pane (pre-1980),622.31,2295.81,101.865,6636.044,1.552,1.301
large_office,atlanta,3A,Glazing Type,glaz_triple_low_e,Triple low-E (post-2010),266.49,1596.28,8.107,5327.753,0.665,0.905
large_office,atlanta,3A,Infiltration,infil_leaky,Leaky (older/poor construction),584.87,1785.2,49.839,5529.039,1.459,1.012
large_office,atlanta,3A,Infiltration,infil_tight,Tight (new construction),337.46,1753.91,15.654,5667.276,0.842,0.994
large_office,atlanta,3A,Lighting Power Density,lighting_high,1.5× baseline,376.42,2069.61,20.537,7164.654,0.939,1.173
large_office,atlanta,3A,Lighting Power Density,lighting_low,0.5× baseline,438.73,1459.18,30.596,4075.396,1.094,0.827
large_office,atlanta,3A,Occupancy Density,people_high,2.0× baseline,389.52,2033.44,20.139,6341.79,0.971,1.152
large_office,atlanta,3A,Occupancy Density,people_low,0.5× baseline,407.5,1630.29,27.323,5261.663,1.016,0.924
large_office,atlanta,3A,Operating Schedule,sched_5day,5-day week,400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Operating Schedule,sched_extended,Extended hours (1.25×),400.95,1764.42,24.295,5618.512,1.0,1.0
large_office,atlanta,3A,Window-to-Wall Ratio,wwr_10pct,10%,342.02,1505.13,15.207,4971.508,0.853,0.853
