county_fips,state_abbrev,county_name,climate_zone
01001,AL,Autauga County,3A
01003,AL,Baldwin County,3A
01005,AL,Barbour County,3A
01007,AL,Bibb County,3A
01009,AL,Blount County,3A
01011,AL,Bullock County,3A
01013,AL,Butler County,3A
01015,AL,Calhoun County,3A
01017,AL,Chambers County,3A
01019,AL,Cherokee County,3A
01021,AL,Chilton County,3A
01023,AL,Choctaw County,3A
01025,AL,Clarke County,3A
01027,AL,Clay County,3A
01029,AL,Cleburne County,3A
01031,AL,Coffee County,3A
01033,AL,Colbert County,3A
01035,AL,Conecuh County,3A
01037,AL,Coosa County,3A
01039,AL,Covington County,3A
01041,AL,Crenshaw County,3A
01043,AL,Cullman County,3A
01045,AL,Dale County,3A
01047,AL,Dallas County,3A
01049,AL,DeKalb County,3A
01051,AL,Elmore County,3A
01053,AL,Escambia County,3A
01055,AL,Etowah County,3A
01057,AL,Fayette County,3A
01059,AL,Franklin County,3A
01061,AL,Geneva County,3A
01063,AL,Greene County,3A
01065,AL,Hale County,3A
01067,AL,Henry County,3A
01069,AL,Houston County,3A
01071,AL,Jackson County,3A
01073,AL,Jefferson County,3A
01075,AL,Lamar County,3A
01077,AL,Lauderdale County,3A
01079,AL,Lawrence County,3A
01081,AL,Lee County,3A
01083,AL,Limestone County,3A
01085,AL,Lowndes County,3A
01087,AL,Macon County,3A
01089,AL,Madison County,3A
01091,AL,Marengo County,3A
01093,AL,Marion County,3A
01095,AL,Marshall County,3A
01097,AL,Mobile County,3A
01099,AL,Monroe County,3A
01101,AL,Montgomery County,3A
01103,AL,Morgan County,3A
01105,AL,Perry County,3A
01107,AL,Pickens County,3A
01109,AL,Pike County,3A
01111,AL,Randolph County,3A
01113,AL,Russell County,3A
01115,AL,St. Clair County,3A
01117,AL,Shelby County,3A
01119,AL,Sumter County,3A
01121,AL,Talladega County,3A
01123,AL,Tallapoosa County,3A
01125,AL,Tuscaloosa County,3A
01127,AL,Walker County,3A
01129,AL,Washington County,3A
01131,AL,Wilcox County,3A
01133,AL,Winston County,3A
02013,AK,Aleutians East Borough,7
02016,AK,Aleutians West Census Area,7
02020,AK,Anchorage Municipality,7
02050,AK,Bethel Census Area,7
02060,AK,Bristol Bay Borough,7
02063,AK,Chugach Census Area,7
02066,AK,Copper River Census Area,7
02068,AK,Denali Borough,7
02070,AK,Dillingham Census Area,7
02090,AK,Fairbanks North Star Borough,8
02100,AK,Haines Borough,8
02105,AK,Hoonah-Angoon Census Area,7
02110,AK,Juneau City and Borough,7
02122,AK,Kenai Peninsula Borough,7
02130,AK,Ketchikan Gateway Borough,7
02150,AK,Kodiak Island Borough,7
02158,AK,Kusilvak Census Area,7
02164,AK,Lake and Peninsula Borough,7
02170,AK,Matanuska-Susitna Borough,7
02180,AK,Nome Census Area,8
02185,AK,North Slope Borough,8
02188,AK,Northwest Arctic Borough,8
02195,AK,Petersburg Borough,7
02198,AK,Prince of Wales-Hyder Census Area,7
02220,AK,Sitka City and Borough,7
02230,AK,Skagway Municipality,7
02240,AK,Southeast Fairbanks Census Area,8
02275,AK,Wrangell City and Borough,7
02282,AK,Yakutat City and Borough,7
02290,AK,Yukon-Koyukuk Census Area,8
04001,AZ,Apache County,5B
04003,AZ,Cochise County,3B
04005,AZ,Coconino County,5B
04007,AZ,Gila County,3B
04009,AZ,Graham County,3B
04011,AZ,Greenlee County,3B
04012,AZ,La Paz County,2B
04013,AZ,Maricopa County,2B
04015,AZ,Mohave County,3B
04017,AZ,Navajo County,5B
04019,AZ,Pima County,2B
04021,AZ,Pinal County,2B
04023,AZ,Santa Cruz County,2B
04025,AZ,Yavapai County,3B
04027,AZ,Yuma County,2B
05001,AR,Arkansas County,3A
05003,AR,Ashley County,3A
05005,AR,Baxter County,3A
05007,AR,Benton County,3A
05009,AR,Boone County,3A
05011,AR,Bradley County,3A
05013,AR,Calhoun County,3A
05015,AR,Carroll County,3A
05017,AR,Chicot County,3A
05019,AR,Clark County,3A
05021,AR,Clay County,3A
05023,AR,Cleburne County,3A
05025,AR,Cleveland County,3A
05027,AR,Columbia County,3A
05029,AR,Conway County,3A
05031,AR,Craighead County,3A
05033,AR,Crawford County,3A
05035,AR,Crittenden County,3A
05037,AR,Cross County,3A
05039,AR,Dallas County,3A
05041,AR,Desha County,3A
05043,AR,Drew County,3A
05045,AR,Faulkner County,3A
05047,AR,Franklin County,3A
05049,AR,Fulton County,3A
05051,AR,Garland County,3A
05053,AR,Grant County,3A
05055,AR,Greene County,3A
05057,AR,Hempstead County,3A
05059,AR,Hot Spring County,3A
05061,AR,Howard County,3A
05063,AR,Independence County,3A
05065,AR,Izard County,3A
05067,AR,Jackson County,3A
05069,AR,Jefferson County,3A
05071,AR,Johnson County,3A
05073,AR,Lafayette County,3A
05075,AR,Lawrence County,3A
05077,AR,Lee County,3A
05079,AR,Lincoln County,3A
05081,AR,Little River County,3A
05083,AR,Logan County,3A
05085,AR,Lonoke County,3A
05087,AR,Madison County,3A
05089,AR,Marion County,3A
05091,AR,Miller County,3A
05093,AR,Mississippi County,3A
05095,AR,Monroe County,3A
05097,AR,Montgomery County,3A
05099,AR,Nevada County,3A
05101,AR,Newton County,3A
05103,AR,Ouachita County,3A
05105,AR,Perry County,3A
05107,AR,Phillips County,3A
05109,AR,Pike County,3A
05111,AR,Poinsett County,3A
05113,AR,Polk County,3A
05115,AR,Pope County,3A
05117,AR,Prairie County,3A
05119,AR,Pulaski County,3A
05121,AR,Randolph County,3A
05123,AR,St. Francis County,3A
05125,AR,Saline County,3A
05127,AR,Scott County,3A
05129,AR,Searcy County,3A
05131,AR,Sebastian County,3A
05133,AR,Sevier County,3A
05135,AR,Sharp County,3A
05137,AR,Stone County,3A
05139,AR,Union County,3A
05141,AR,Van Buren County,3A
05143,AR,Washington County,3A
05145,AR,White County,3A
05147,AR,Woodruff County,3A
05149,AR,Yell County,3A
06001,CA,Alameda County,3C
06003,CA,Alpine County,3B
06005,CA,Amador County,3B
06007,CA,Butte County,3B
06009,CA,Calaveras County,3B
06011,CA,Colusa County,3B
06013,CA,Contra Costa County,3C
06015,CA,Del Norte County,3B
06017,CA,El Dorado County,3B
06019,CA,Fresno County,3B
06021,CA,Glenn County,3B
06023,CA,Humboldt County,3B
06025,CA,Imperial County,3B
06027,CA,Inyo County,3B
06029,CA,Kern County,3B
06031,CA,Kings County,3B
06033,CA,Lake County,3B
06035,CA,Lassen County,5B
06037,CA,Los Angeles County,3B
06039,CA,Madera County,3B
06041,CA,Marin County,3C
06043,CA,Mariposa County,3B
06045,CA,Mendocino County,3B
06047,CA,Merced County,3B
06049,CA,Modoc County,5B
06051,CA,Mono County,3B
06053,CA,Monterey County,3B
06055,CA,Napa County,3C
06057,CA,Nevada County,3B
06059,CA,Orange County,3B
06061,CA,Placer County,3B
06063,CA,Plumas County,5B
06065,CA,Riverside County,3B
06067,CA,Sacramento County,3B
06069,CA,San Benito County,3B
06071,CA,San Bernardino County,3B
06073,CA,San Diego County,3C
06075,CA,San Francisco County,3C
06077,CA,San Joaquin County,3B
06079,CA,San Luis Obispo County,3B
06081,CA,San Mateo County,3C
06083,CA,Santa Barbara County,3B
06085,CA,Santa Clara County,3C
06087,CA,Santa Cruz County,3C
06089,CA,Shasta County,3B
06091,CA,Sierra County,5B
06093,CA,Siskiyou County,5B
06095,CA,Solano County,3B
06097,CA,Sonoma County,3C
06099,CA,Stanislaus County,3B
06101,CA,Sutter County,3B
06103,CA,Tehama County,5B
06105,CA,Trinity County,3B
06107,CA,Tulare County,3B
06109,CA,Tuolumne County,3B
06111,CA,Ventura County,3B
06113,CA,Yolo County,3B
06115,CA,Yuba County,3B
08001,CO,Adams County,5B
08003,CO,Alamosa County,5B
08005,CO,Arapahoe County,5B
08007,CO,Archuleta County,5B
08009,CO,Baca County,5B
