county_fips,state_abbrev,county_name,k_wmpk,alpha_m2day,T_g_C,k_method,T_g_method,n_smu_pts_200km,rock_class_name,k_class_min,k_class_max
01001,AL,Autauga County,2.208,0.0867,20.03,SMU_IDW,surface+SMU_grad,9,alluvial_glacial,0.5,2.2
01003,AL,Baldwin County,1.535,0.0603,21.31,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01005,AL,Barbour County,2.205,0.0866,19.76,SMU_IDW,surface+SMU_grad,4,alluvial_glacial,0.5,2.2
01007,AL,Bibb County,2.508,0.0985,19.96,SMU_IDW,surface+SMU_grad,9,limestone_carbonate,2.5,4.0
01009,AL,Blount County,2.613,0.1026,19.58,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01011,AL,Bullock County,2.257,0.0886,19.93,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01013,AL,Butler County,1.723,0.0677,20.45,SMU_IDW,surface+SMU_grad,12,alluvial_glacial,0.5,2.2
01015,AL,Calhoun County,2.775,0.109,19.66,SMU_IDW,surface+SMU_grad,7,clay_shale,1.5,3.5
01017,AL,Chambers County,2.79,0.1096,19.71,SMU_IDW,surface+SMU_grad,6,metamorphic,1.5,4.5
01019,AL,Cherokee County,2.637,0.1036,19.69,SMU_IDW,surface+SMU_grad,7,limestone_carbonate,2.5,4.0
01021,AL,Chilton County,2.495,0.098,19.86,SMU_IDW,surface+SMU_grad,9,alluvial_glacial,0.5,2.2
01023,AL,Choctaw County,1.13,0.0444,21.35,SMU_IDW,surface+SMU_grad,14,alluvial_glacial,0.5,2.2
01025,AL,Clarke County,1.438,0.0565,20.68,SMU_IDW,surface+SMU_grad,10,limestone_carbonate,2.5,4.0
01027,AL,Clay County,2.8,0.11,19.59,SMU_IDW,surface+SMU_grad,6,metamorphic,1.5,4.5
01029,AL,Cleburne County,2.761,0.1084,19.69,SMU_IDW,surface+SMU_grad,7,metamorphic,1.5,4.5
01031,AL,Coffee County,1.864,0.0732,19.77,SMU_IDW,surface+SMU_grad,6,alluvial_glacial,0.5,2.2
01033,AL,Colbert County,2.294,0.0901,19.87,SMU_IDW,surface+SMU_grad,8,clay_shale,1.5,3.5
01035,AL,Conecuh County,1.515,0.0595,20.83,SMU_IDW,surface+SMU_grad,9,clay_shale,1.5,3.5
01037,AL,Coosa County,2.852,0.112,19.61,SMU_IDW,surface+SMU_grad,7,metamorphic,1.5,4.5
01039,AL,Covington County,1.604,0.063,20.69,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01041,AL,Crenshaw County,1.84,0.0723,20.24,SMU_IDW,surface+SMU_grad,10,alluvial_glacial,0.5,2.2
01043,AL,Cullman County,2.414,0.0948,19.62,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01045,AL,Dale County,1.988,0.0781,19.22,SMU_IDW,surface+SMU_grad,4,clay_shale,1.5,3.5
01047,AL,Dallas County,1.613,0.0633,20.3,SMU_IDW,surface+SMU_grad,13,alluvial_glacial,0.5,2.2
01049,AL,DeKalb County,2.371,0.0931,19.62,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01051,AL,Elmore County,2.575,0.1011,19.84,SMU_IDW,surface+SMU_grad,7,metamorphic,1.5,4.5
01053,AL,Escambia County,1.548,0.0608,21.27,SMU_IDW,surface+SMU_grad,9,alluvial_glacial,0.5,2.2
01055,AL,Etowah County,2.604,0.1023,19.64,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01057,AL,Fayette County,2.445,0.096,19.95,SMU_IDW,surface+SMU_grad,11,alluvial_glacial,0.5,2.2
01059,AL,Franklin County,2.33,0.0915,19.87,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01061,AL,Geneva County,1.907,0.0749,19.78,SMU_IDW,surface+SMU_grad,4,alluvial_glacial,0.5,2.2
01063,AL,Greene County,2.116,0.0831,20.19,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01065,AL,Hale County,1.887,0.0741,20.23,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01067,AL,Henry County,2.0,0.072,19.51,SGMC_CH1995,surface+SMU_grad,1,clay_shale,1.5,3.5
01069,AL,Houston County,1.954,0.0767,19.55,SMU_IDW,surface+SMU_grad,5,clay_shale,1.5,3.5
01071,AL,Jackson County,2.091,0.0821,19.49,SMU_IDW,surface+SMU_grad,7,clay_shale,1.5,3.5
01073,AL,Jefferson County,2.682,0.1053,19.72,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01075,AL,Lamar County,2.405,0.0945,19.99,SMU_IDW,surface+SMU_grad,10,alluvial_glacial,0.5,2.2
01077,AL,Lauderdale County,2.198,0.0863,19.81,SMU_IDW,surface+SMU_grad,5,limestone_carbonate,2.5,4.0
01079,AL,Lawrence County,2.262,0.0888,19.72,SMU_IDW,surface+SMU_grad,7,limestone_carbonate,2.5,4.0
01081,AL,Lee County,2.709,0.1064,19.8,SMU_IDW,surface+SMU_grad,6,metamorphic,1.5,4.5
01083,AL,Limestone County,1.971,0.0774,19.46,SMU_IDW,surface+SMU_grad,6,clay_shale,1.5,3.5
01085,AL,Lowndes County,1.824,0.0716,20.23,SMU_IDW,surface+SMU_grad,12,limestone_carbonate,2.5,4.0
01087,AL,Macon County,2.451,0.0963,19.89,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01089,AL,Madison County,1.766,0.0694,19.19,SMU_IDW,surface+SMU_grad,7,clay_shale,1.5,3.5
01091,AL,Marengo County,1.297,0.0509,20.32,SMU_IDW,surface+SMU_grad,11,alluvial_glacial,0.5,2.2
01093,AL,Marion County,2.44,0.0958,19.95,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
01095,AL,Marshall County,2.221,0.0872,19.51,SMU_IDW,surface+SMU_grad,8,clay_shale,1.5,3.5
01097,AL,Mobile County,1.573,0.0618,20.88,SMU_IDW,surface+SMU_grad,9,alluvial_glacial,0.5,2.2
01099,AL,Monroe County,1.474,0.0579,20.7,SMU_IDW,surface+SMU_grad,10,alluvial_glacial,0.5,2.2
01101,AL,Montgomery County,2.054,0.0807,20.05,SMU_IDW,surface+SMU_grad,10,clay_shale,1.5,3.5
01103,AL,Morgan County,2.032,0.0798,19.46,SMU_IDW,surface+SMU_grad,6,alluvial_glacial,0.5,2.2
01105,AL,Perry County,1.817,0.0714,20.22,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01107,AL,Pickens County,2.639,0.1036,19.91,SMU_IDW,surface+SMU_grad,10,alluvial_glacial,0.5,2.2
01109,AL,Pike County,1.947,0.0765,19.9,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01111,AL,Randolph County,2.799,0.1099,19.68,SMU_IDW,surface+SMU_grad,6,metamorphic,1.5,4.5
01113,AL,Russell County,2.544,0.0999,19.87,SMU_IDW,surface+SMU_grad,5,alluvial_glacial,0.5,2.2
01115,AL,St. Clair County,2.842,0.1116,19.56,SMU_IDW,surface+SMU_grad,6,alluvial_glacial,0.5,2.2
01117,AL,Shelby County,2.82,0.1107,19.61,SMU_IDW,surface+SMU_grad,8,alluvial_glacial,0.5,2.2
01119,AL,Sumter County,1.864,0.0732,20.31,SMU_IDW,surface+SMU_grad,12,alluvial_glacial,0.5,2.2
01121,AL,Talladega County,3.012,0.1183,19.44,SMU_IDW,surface+SMU_grad,7,limestone_carbonate,2.5,4.0
01123,AL,Tallapoosa County,2.746,0.1078,19.68,SMU_IDW,surface+SMU_grad,7,undifferentiated,1.5,4.0
01125,AL,Tuscaloosa County,2.613,0.1026,19.91,SMU_IDW,surface+SMU_grad,11,undifferentiated,1.5,4.0
01127,AL,Walker County,2.536,0.0996,19.78,SMU_IDW,surface+SMU_grad,9,alluvial_glacial,0.5,2.2
01129,AL,Washington County,1.559,0.0612,20.77,SMU_IDW,surface+SMU_grad,11,alluvial_glacial,0.5,2.2
01131,AL,Wilcox County,1.447,0.0568,20.39,SMU_IDW,surface+SMU_grad,13,alluvial_glacial,0.5,2.2
01133,AL,Winston County,2.459,0.0966,19.77,SMU_IDW,surface+SMU_grad,7,alluvial_glacial,0.5,2.2
02013,AK,Aleutians East Borough,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02016,AK,Aleutians West Census Area,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02020,AK,Anchorage Municipality,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02050,AK,Bethel Census Area,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02060,AK,Bristol Bay Borough,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02063,AK,Chugach Census Area,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02066,AK,Copper River Census Area,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02068,AK,Denali Borough,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02070,AK,Dillingham Census Area,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02090,AK,Fairbanks North Star Borough,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02100,AK,Haines Borough,2.5,0.0982,9.03,SGMC_CH1995,surface+SMU_grad,0,undifferentiated,1.5,4.0
02105,AK,Hoonah-Angoon Census Area,1.5,0.0648,9.12,SGMC_CH1995,surface+SMU_grad,1,alluvial_glacial,0.5,2.2
02110,AK,Juneau City and Borough,2.299,0.0903,9.01,SMU_IDW,surface+SMU_grad,4,metamorphic,1.5,4.5
02122,AK,Kenai Peninsula Borough,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02130,AK,Ketchikan Gateway Borough,3.552,0.1395,7.53,SMU_IDW,surface+SMU_grad,6,metamorphic,1.5,4.5
02150,AK,Kodiak Island Borough,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02158,AK,Kusilvak Census Area,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02164,AK,Lake and Peninsula Borough,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02170,AK,Matanuska-Susitna Borough,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02180,AK,Nome Census Area,2.9,0.1139,7.5,SGMC_CH1995,surface+default_grad,0,metamorphic,1.5,4.5
02185,AK,North Slope Borough,2.5,0.0982,6.64,SGMC_CH1995,surface+SMU_grad,0,undifferentiated,1.5,4.0
02188,AK,Northwest Arctic Borough,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02195,AK,Petersburg Borough,1.963,0.0771,8.57,SMU_IDW,surface+SMU_grad,4,metamorphic,1.5,4.5
02198,AK,Prince of Wales-Hyder Census Area,3.056,0.12,7.61,SMU_IDW,surface+SMU_grad,10,undifferentiated,1.5,4.0
02220,AK,Sitka City and Borough,2.857,0.1122,9.65,SMU_IDW,surface+SMU_grad,4,undifferentiated,1.5,4.0
02230,AK,Skagway Municipality,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02240,AK,Southeast Fairbanks Census Area,1.5,0.0648,7.5,SGMC_CH1995,surface+default_grad,0,alluvial_glacial,0.5,2.2
02275,AK,Wrangell City and Borough,2.82,0.1107,7.89,SMU_IDW,surface+SMU_grad,10,metamorphic,1.5,4.5
02282,AK,Yakutat City and Borough,2.5,0.0982,7.5,SGMC_CH1995,surface+default_grad,0,undifferentiated,1.5,4.0
02290,AK,Yukon-Koyukuk Census Area,2.9,0.1139,7.5,SGMC_CH1995,surface+default_grad,0,metamorphic,1.5,4.5
04001,AZ,Apache County,2.238,0.0879,23.09,SMU_IDW,surface+SMU_grad,108,alluvial_glacial,0.5,2.2
