county_fips,shallow_soil_class,k_dry_wmpk,k_wmpk,k_sat_wmpk
17001,silt_clay,0.2081,1.3068,1.4995
17003,silt_clay,0.2138,1.3633,1.5649
17005,silt_clay,0.2161,1.3312,1.5268
02770,silt_clay,0.1863,1.0254,1.3868
02771,silt_clay,0.1644,0.9308,1.2608
02772,silt_clay,0.1662,0.9544,1.2938
02773,medium_fine_sand,0.1931,1.2555,1.5003
02774,medium_fine_sand,0.1984,1.2471,1.4888
02775,silt_clay,0.2025,1.1007,1.4874
02776,silt_clay,0.1694,0.9748,1.3216
02777,medium_fine_sand,0.1824,1.2085,1.445
02778,silt_clay,0.1409,0.8628,1.1736
02779,silt_clay,0.1932,1.0139,1.3673
02781,silt_clay,0.1374,0.8395,1.1419
02782,silt_clay,0.1338,0.8197,1.1151
02783,silt_clay,0.1424,0.8196,1.1112
02784,silt_clay,0.1339,0.8275,1.1262
02785,silt_clay,0.1383,0.8384,1.1399
02786,silt_clay,0.1338,0.8197,1.1151
02787,silt_clay,0.1541,0.9144,1.2418
02788,silt_clay,0.1499,0.8943,1.2149
02789,silt_clay,0.1928,1.0368,1.4003
02790,medium_fine_sand,0.1824,1.2085,1.445
02791,medium_fine_sand,0.2181,1.3509,1.612
02792,silt_clay,0.1595,0.8818,1.1929
02793,silt_clay,0.1719,0.9443,1.2769
02794,silt_clay,0.1959,1.0798,1.4604
02795,silt_clay,0.1944,1.0525,1.422
02796,silt_clay,0.2096,1.071,1.442
02797,medium_fine_sand,0.189,1.2035,1.4374
01001,medium_fine_sand,0.2369,1.6276,1.7582
01003,silt_clay,0.221,1.3529,1.5515
01005,medium_fine_sand,0.2303,1.6106,1.7402
01007,silt_clay,0.2293,1.411,1.6183
01009,silt_clay,0.2121,1.2214,1.3984
01011,silt_clay,0.2221,1.3845,1.5885
01013,medium_fine_sand,0.2243,1.5089,1.6295
01015,silt_clay,0.2105,1.1895,1.3612
01017,silt_clay,0.2047,1.2915,1.4821
01019,silt_clay,0.2111,1.2085,1.3835
01021,medium_fine_sand,0.2247,1.5274,1.6498
01023,silt_clay,0.2227,1.3697,1.5709
01025,medium_fine_sand,0.2205,1.479,1.5971
01027,silt_clay,0.21,1.286,1.4747
01029,silt_clay,0.2089,1.2676,1.4533
01031,medium_fine_sand,0.233,1.5801,1.7066
01033,silt_clay,0.2198,1.4043,1.6122
01035,medium_fine_sand,0.229,1.564,1.6893
01037,silt_clay,0.2123,1.3354,1.5324
01039,medium_fine_sand,0.2254,1.6135,1.7438
01041,medium_fine_sand,0.2322,1.637,1.7689
01043,silt_clay,0.2201,1.2738,1.4587
01045,medium_fine_sand,0.2303,1.6175,1.7477
01047,silt_clay,0.2264,1.3717,1.5726
01049,silt_clay,0.2129,1.1807,1.3505
01051,medium_fine_sand,0.2222,1.4904,1.6095
01053,medium_fine_sand,0.2292,1.5498,1.6738
01055,silt_clay,0.2141,1.2136,1.389
01057,silt_clay,0.2257,1.376,1.5779
01059,silt_clay,0.2215,1.2927,1.4806
01061,medium_fine_sand,0.2308,1.5776,1.704
01063,silt_clay,0.2214,1.3139,1.5056
01065,silt_clay,0.2192,1.3228,1.5164
01067,medium_fine_sand,0.2293,1.5923,1.7203
01069,medium_fine_sand,0.2291,1.6373,1.7696
01071,silt_clay,0.2109,1.3796,1.5846
01073,silt_clay,0.215,1.2289,1.4067
01075,silt_clay,0.2233,1.3793,1.5821
01077,silt_clay,0.2168,1.391,1.597
01079,silt_clay,0.2099,1.1849,1.356
01081,medium_fine_sand,0.2125,1.4429,1.5584
01083,silt_clay,0.2136,1.3628,1.5644
01085,silt_clay,0.215,1.3201,1.514
01087,medium_fine_sand,0.2149,1.4443,1.5598
01089,silt_clay,0.2117,1.3721,1.5756
01091,silt_clay,0.2176,1.3064,1.4975
01093,medium_fine_sand,0.2276,1.4979,1.6172
01095,silt_clay,0.2132,1.2203,1.3969
01097,medium_fine_sand,0.228,1.5487,1.6727
01099,medium_fine_sand,0.2272,1.5013,1.621
01101,silt_clay,0.2171,1.3077,1.4991
01103,silt_clay,0.2126,1.2052,1.3794
01105,silt_clay,0.2164,1.3087,1.5003
01107,silt_clay,0.2133,1.3017,1.4926
01109,medium_fine_sand,0.2296,1.5867,1.7141
01111,medium_fine_sand,0.2079,1.4142,1.5274
