city,climate_zone,building,param,level,u_factor,shgc,annual_heat_mult,annual_cool_mult,peak_heat_mult,peak_cool_mult,annual_heat_MWh,annual_cool_MWh,delta_heat_MWh,delta_cool_MWh,heat_degenerate
miami,1A,small_office,shgc_sweep,shgc_020,2.06120838,0.2,242.8059,0.8819,236.2592,0.9648,0.0,43.056,0.0,-5.765,True
miami,1A,small_office,shgc_sweep,shgc_030,2.06120838,0.3,18.0039,0.9478,9.9749,0.9948,0.0,46.271,0.0,-2.55,True
miami,1A,small_office,shgc_sweep,shgc_040,2.06120838,0.4,9.3551,1.0147,0.3809,0.9993,0.0,49.537,0.0,0.716,True
miami,1A,small_office,shgc_sweep,shgc_055,2.06120838,0.55,11.733,1.1161,0.4346,0.975,0.0,54.491,0.0,5.67,True
miami,1A,small_office,shgc_sweep,shgc_070,2.06120838,0.7,14.0544,1.2197,0.4808,0.9853,0.0,59.547,0.0,10.726,True
miami,1A,small_office,u_sweep,u_080,0.8,0.378,10.3155,1.0163,0.3819,1.0014,0.0,49.615,0.0,0.794,True
miami,1A,small_office,u_sweep,u_140,1.4,0.378,9.5586,1.0055,0.3765,1.0009,0.0,49.091,0.0,0.27,True
miami,1A,small_office,u_sweep,u_270,2.7,0.378,23.407,0.9929,14.517,0.9988,0.0,48.475,0.0,-0.346,True
miami,1A,small_office,u_sweep,u_400,4.0,0.378,328.8265,1.0017,320.4429,0.997,0.0,48.902,0.0,0.081,True
miami,1A,small_office,u_sweep,u_580,5.8,0.378,750.8595,1.0177,742.8403,0.9968,0.001,49.683,0.001,0.862,True
tampa,2A,small_office,shgc_sweep,shgc_020,2.06120838,0.2,2.1596,0.8584,1.5255,1.0132,0.063,34.615,0.034,-5.708,True
tampa,2A,small_office,shgc_sweep,shgc_030,2.06120838,0.3,1.3759,0.9375,1.2316,1.0083,0.04,37.801,0.011,-2.522,True
tampa,2A,small_office,shgc_sweep,shgc_040,2.06120838,0.4,0.8973,1.0177,0.9301,0.9976,0.026,41.038,-0.003,0.715,True
tampa,2A,small_office,shgc_sweep,shgc_055,2.06120838,0.55,0.4739,1.1407,0.5393,0.9831,0.014,45.995,-0.015,5.672,True
tampa,2A,small_office,shgc_sweep,shgc_070,2.06120838,0.7,0.2375,1.2665,0.3335,1.0075,0.007,51.07,-0.022,10.747,True
tampa,2A,small_office,u_sweep,u_080,0.8,0.378,0.3479,1.0348,0.4135,1.0013,0.01,41.726,-0.019,1.403,True
tampa,2A,small_office,u_sweep,u_140,1.4,0.378,0.6204,1.014,0.6785,1.0014,0.018,40.886,-0.011,0.563,True
tampa,2A,small_office,u_sweep,u_270,2.7,0.378,1.4715,0.9857,1.3017,0.9991,0.043,39.747,0.014,-0.576,True
tampa,2A,small_office,u_sweep,u_400,4.0,0.378,2.8467,0.9868,1.7517,0.9979,0.083,39.79,0.054,-0.533,True
tampa,2A,small_office,u_sweep,u_580,5.8,0.378,5.3527,0.9963,2.5738,0.9856,0.155,40.173,0.126,-0.15,True
atlanta,3A,small_office,shgc_sweep,shgc_020,2.06120838,0.2,1.3759,0.8191,1.0234,0.8801,2.782,19.694,0.76,-4.348,False
atlanta,3A,small_office,shgc_sweep,shgc_030,2.06120838,0.3,1.1489,0.9186,1.0087,0.9533,2.323,22.084,0.301,-1.958,False
atlanta,3A,small_office,shgc_sweep,shgc_040,2.06120838,0.4,0.9628,1.0236,0.9964,1.011,1.947,24.608,-0.075,0.566,False
atlanta,3A,small_office,shgc_sweep,shgc_055,2.06120838,0.55,0.7426,1.1889,0.9788,1.0751,1.501,28.583,-0.521,4.541,False
atlanta,3A,small_office,shgc_sweep,shgc_070,2.06120838,0.7,0.5709,1.3644,0.9217,1.1624,1.154,32.803,-0.868,8.761,False
atlanta,3A,small_office,u_sweep,u_080,0.8,0.378,0.5844,1.0707,0.8895,1.0281,1.182,25.743,-0.84,1.701,False
atlanta,3A,small_office,u_sweep,u_140,1.4,0.378,0.7916,1.0294,0.978,1.012,1.601,24.749,-0.421,0.707,False
atlanta,3A,small_office,u_sweep,u_270,2.7,0.378,1.2053,0.9741,1.0293,0.9878,2.437,23.419,0.415,-0.623,False
