city,climate_zone,building,shgc_cool_range,u_cool_range,cooling_winner,shgc_heat_range,u_heat_range,heating_winner,heat_metric,heat_degenerate
miami,1A,small_office,0.3378,0.0248,SHGC,0.0,0.001,U-factor,abs_MWh,True
tampa,2A,small_office,0.4081,0.0491,SHGC,0.031,0.115,U-factor,abs_MWh,True
atlanta,3A,small_office,0.5453,0.1054,SHGC,0.805,1.4011,U-factor,multiplier,False
san_diego,3C,small_office,0.7461,0.2539,SHGC,0.106,0.238,U-factor,abs_MWh,True
new_york,4A,small_office,0.6434,0.1697,SHGC,0.7463,1.5666,U-factor,multiplier,False
denver,5B,small_office,0.9321,0.2901,SHGC,0.91,1.7866,U-factor,multiplier,False
buffalo,5A,small_office,0.7717,0.2878,SHGC,0.513,1.2138,U-factor,multiplier,False
international_falls,7,small_office,0.9443,0.3471,SHGC,0.3855,1.0184,U-factor,multiplier,False
miami,1A,medium_office,0.3956,0.0307,SHGC,0.051,0.1,U-factor,abs_MWh,True
tampa,2A,medium_office,0.4609,0.0563,SHGC,0.715,2.3722,U-factor,multiplier,False
atlanta,3A,medium_office,0.5814,0.1641,SHGC,0.9804,3.2048,U-factor,multiplier,False
san_diego,3C,medium_office,0.6662,0.2664,SHGC,0.308,1.257,U-factor,abs_MWh,True
new_york,4A,medium_office,0.653,0.2908,SHGC,0.8215,3.2568,U-factor,multiplier,False
denver,5B,medium_office,0.8133,0.3805,SHGC,0.9466,3.8504,U-factor,multiplier,False
buffalo,5A,medium_office,0.7064,0.3987,SHGC,0.6351,2.4886,U-factor,multiplier,False
international_falls,7,medium_office,0.7989,0.4592,SHGC,0.4778,2.0114,U-factor,multiplier,False
miami,1A,large_office,0.2168,0.0153,SHGC,0.025,1.17,U-factor,abs_MWh,True
tampa,2A,large_office,0.2489,0.0359,SHGC,1.1525,26.0285,U-factor,multiplier,False
atlanta,3A,large_office,0.2714,0.096,SHGC,0.8282,6.0184,U-factor,multiplier,False
san_diego,3C,large_office,0.3037,0.1329,SHGC,0.251,10.616,U-factor,abs_MWh,True
new_york,4A,large_office,0.2673,0.1428,SHGC,0.6441,4.3922,U-factor,multiplier,False
denver,5B,large_office,0.3275,0.175,SHGC,0.6703,5.4494,U-factor,multiplier,False
buffalo,5A,large_office,0.2577,0.1784,SHGC,0.5671,3.6473,U-factor,multiplier,False
international_falls,7,large_office,0.2746,0.2059,SHGC,0.4433,2.9834,U-factor,multiplier,False
