Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.8802553803,4.41452535351,0.000693366331166,0.0,4.58992532963,8.1892,124.342017328,113.495000767,3.33988,7.50713656148
 01/01  02:00:00,14.6482960805,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6647808804,0.0,0.0,0.0,1.52997510988,7.4902,3.93194950743,0.0,3.33988,0.592069507434
 01/01  04:00:00,14.6710827765,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8179811654,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,23.0088730028,4.41452535351,0.0119825375811,0.0,4.58992532963,8.1892,122.803909554,113.862116923,8.3497,0.592092631447
 01/01  07:00:00,38.9700171893,4.41452535351,0.0118322378645,0.0,9.17985065927,19.4245,123.856728172,102.543370777,16.6994,4.61395739474
 01/01  08:00:00,43.260602559,4.41452535351,0.0098783852129,0.0,9.17985065927,26.9147,113.817440044,84.1540030561,25.0491,4.61433698751
 01/01  09:00:00,42.212499511,4.41452535351,0.0,0.0,9.17985065927,26.9147,114.292116882,76.2787723174,33.3988,4.61454456467
 01/01  10:00:00,34.7262665097,4.41452535351,0.0,0.0,9.17985065927,19.4245,101.732619147,72.068203412,25.0491,4.61531573456
 01/01  11:00:00,42.2359574747,4.41452535351,0.00391606893453,0.0,9.17985065927,26.9147,114.1370497,57.2902804782,41.7485,15.0982692216
 01/01  12:00:00,43.0192500695,4.41452535351,0.0,0.0,9.17985065927,26.9147,103.172174025,46.3251135618,41.7485,15.0985604629
 01/01  13:00:00,42.3200280652,4.41452535351,0.0,0.0,9.17985065927,26.9147,89.4784073514,36.144336828,41.7485,11.5855705234
 01/01  14:00:00,34.7905390665,4.41452535351,0.0,0.0,9.17985065927,19.4245,82.9605032825,37.3979685901,33.3988,12.1637346924
 01/01  15:00:00,34.7899605181,4.41452535351,0.0,0.0,9.17985065927,19.4245,75.921409462,41.6264826551,25.0491,9.24582680695
 01/01  16:00:00,34.7690461515,4.41452535351,0.0,0.0,9.17985065927,19.4245,88.8818849254,46.8127156883,33.3988,8.67036923716
 01/01  17:00:00,44.2967803823,4.41452535351,0.00425149449488,0.0,9.17985065927,26.9147,112.900267698,53.5538079162,50.0982,9.24825978222
 01/01  18:00:00,46.4187080892,4.41452535351,0.0,0.0,9.17985065927,26.9147,121.44781889,59.1850314762,50.0982,12.1645874141
 01/01  19:00:00,46.4217032163,4.41452535351,0.0,0.0,9.17985065927,26.9147,127.986934973,63.3704596455,50.0982,14.518275328
 01/01  20:00:00,39.0603534665,4.41452535351,0.0,0.0,9.17985065927,19.4245,116.334940832,67.8390043379,33.3988,15.0971364937
 01/01  21:00:00,39.0386471504,4.41452535351,0.0,0.0,9.17985065927,19.4245,114.265547919,68.7017965286,33.3988,12.1649513903
 01/01  22:00:00,38.9661329786,4.41452535351,0.0,0.0,9.17985065927,19.4245,117.007495139,76.8604239782,25.0491,15.0979711611
 01/01  23:00:00,38.8567877316,4.41452535351,0.0,0.0,9.17985065927,19.4245,108.750991989,80.468163523,16.6994,11.5834284662
 01/01  24:00:00,39.6656603735,4.41452535351,0.0,0.0,9.17985065927,19.4245,93.1714894159,78.4765706154,8.3497,6.34521880052
 01/02  01:00:00,22.9050669697,4.41452535351,0.0,0.0,4.58992532963,8.1892,93.8958260877,84.7861640346,3.33988,5.76978205314
 01/02  02:00:00,14.6435630448,0.0,0.0,0.0,1.52997510988,7.4902,3.93197423164,0.0,3.33988,0.592094231641
 01/02  03:00:00,14.66272807,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6748049194,0.0,0.0,0.0,1.52997510988,7.4902,3.93192841395,0.0,3.33988,0.592048413954
 01/02  05:00:00,14.8250123653,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,23.0115338638,4.41452535351,0.00455646387382,0.0,4.58992532963,8.1892,100.128971236,91.1872168831,8.3497,0.592054353226
 01/02  07:00:00,38.9770305125,4.41452535351,0.0122271857974,0.0,9.17985065927,19.4245,103.737247163,82.4241287657,16.6994,4.61371839717
 01/02  08:00:00,43.2742859793,4.41452535351,0.0152050118112,0.0,9.17985065927,26.9147,110.884509124,67.7883869199,25.0491,18.0470222046
 01/02  09:00:00,42.2207552281,4.41452535351,0.0,0.0,9.17985065927,26.9147,111.768020569,62.0883271722,33.3988,16.280893397
 01/02  10:00:00,34.747917499,4.41452535351,0.0,0.0,9.17985065927,19.4245,90.6336836669,52.2456016254,25.0491,13.3389820416
 01/02  11:00:00,42.276456359,4.41452535351,0.00253891422956,0.0,9.17985065927,26.9147,95.365464882,41.4515630997,41.7485,12.1654017823
 01/02  12:00:00,43.0461313255,4.41452535351,0.0,0.0,9.17985065927,26.9147,77.7640487976,22.6752099513,41.7485,13.3403388463
 01/02  13:00:00,42.3741868013,4.41452535351,0.0,0.0,9.17985065927,26.9147,63.8711906297,9.95936118684,41.7485,12.1633294429
 01/02  14:00:00,34.8485001459,4.41452535351,0.0,0.0,9.17985065927,19.4245,56.2884002581,12.4743194802,33.3988,10.4152807779
 01/02  15:00:00,34.8525262331,4.41452535351,0.0,0.0,9.17985065927,19.4245,51.4516701882,17.1574998341,25.0491,9.24507035418
 01/02  16:00:00,34.8310762425,4.41452535351,0.0,0.0,9.17985065927,19.4245,67.881045758,25.8109066402,33.3988,8.6713391178
 01/02  17:00:00,44.3652446874,4.41452535351,0.0049737873589,0.0,9.17985065927,26.9147,88.6937766155,29.3474265984,50.0982,9.24815001717
 01/02  18:00:00,46.4773075607,4.41452535351,0.0,0.0,9.17985065927,26.9147,91.8958968696,29.6327857458,50.0982,12.1649111237
 01/02  19:00:00,46.4539104463,4.41452535351,0.0,0.0,9.17985065927,26.9147,100.437005801,34.0577022066,50.0982,16.2811035949
 01/02  20:00:00,39.0742830277,4.41452535351,0.0,0.0,9.17985065927,19.4245,94.5358980377,43.0893062719,33.3988,18.0477917658
 01/02  21:00:00,39.0491036381,4.41452535351,0.0,0.0,9.17985065927,19.4245,96.3596358685,48.4439200892,33.3988,14.5169157793
 01/02  22:00:00,38.9747887807,4.41452535351,0.0,0.0,9.17985065927,19.4245,97.7993052346,55.8873257926,25.0491,16.862879442
 01/02  23:00:00,38.8669166944,4.41452535351,0.0,0.0,9.17985065927,19.4245,84.9581617641,54.9187142241,16.6994,13.34004754
 01/02  24:00:00,39.6741444595,4.41452535351,0.0,0.0,9.17985065927,19.4245,73.4384636337,57.5823475493,8.3497,7.50641608438
 01/03  01:00:00,22.9130535377,4.41452535351,0.0,0.0,4.58992532963,8.1892,77.1549105841,67.469449607,3.33988,6.34558097712
 01/03  02:00:00,14.6532397496,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.6738873383,0.0,0.0,0.0,1.52997510988,7.4902,3.93194506511,0.0,3.33988,0.592065065112
 01/03  04:00:00,14.6862800762,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.3518773337,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  06:00:00,23.5288491002,4.41452535351,0.0,0.0,4.58992532963,8.1892,82.6400891289,73.6983052258,8.3497,0.592083903028
 01/03  07:00:00,39.212382307,4.41452535351,0.0129611994914,0.0,9.17985065927,19.4245,89.013627787,67.7002151731,16.6994,4.6140126139
 01/03  08:00:00,43.2777150647,4.41452535351,0.0138107346758,0.0,9.17985065927,26.9147,101.204985873,58.1072588786,25.0491,18.0486269948
 01/03  09:00:00,42.244451055,4.41452535351,0.00173975441072,0.0,9.17985065927,26.9147,97.3337836612,47.6533664226,33.3988,16.2816172385
 01/03  10:00:00,34.7869076496,4.41452535351,0.0,0.0,9.17985065927,19.4245,76.2929112259,37.9027037104,25.0491,13.3411075155
 01/03  11:00:00,42.2932881963,4.41452535351,0.00249367101647,0.0,9.17985065927,26.9147,89.4515547293,35.5371523636,41.7485,12.1659023658
 01/03  12:00:00,43.0418079824,4.41452535351,0.0,0.0,9.17985065927,26.9147,81.025774228,25.9373176172,41.7485,13.3399566107
 01/03  13:00:00,42.3443000979,4.41452535351,0.0,0.0,9.17985065927,26.9147,74.12386227,20.2096077371,41.7485,12.1657545329
 01/03  14:00:00,34.8083564278,4.41452535351,0.0,0.0,9.17985065927,19.4245,70.8043743517,26.9901156272,33.3988,10.4154587245
 01/03  15:00:00,34.7876393057,4.41452535351,0.0,0.0,9.17985065927,19.4245,73.9731658506,39.6766523331,25.0491,9.24741351745
 01/03  16:00:00,34.7509699422,4.41452535351,0.0,0.0,9.17985065927,19.4245,96.1551178071,53.5102484915,33.3988,9.24606931561
 01/03  17:00:00,44.2889159133,4.41452535351,0.00370319622562,0.0,9.17985065927,26.9147,120.173484185,61.4050125714,50.0982,8.67027161325
 01/03  18:00:00,46.4145112162,4.41452535351,0.0,0.0,9.17985065927,26.9147,128.502125466,66.239093468,50.0982,12.1648319985
 01/03  19:00:00,46.4210871233,4.41452535351,0.00107572457176,0.0,9.17985065927,26.9147,129.898202648,63.144193387,50.0982,16.6558092606
 01/03  20:00:00,38.9169772412,4.41452535351,0.0,0.0,9.17985065927,19.4245,118.991577764,67.9179114704,33.3988,17.6748662932
 01/03  21:00:00,38.9061283969,4.41452535351,0.0,0.0,9.17985065927,19.4245,122.198412451,73.7008949375,33.3988,15.0987175133
 01/03  22:00:00,38.8639472787,4.41452535351,0.0,0.0,9.17985065927,19.4245,126.125253165,84.796461769,25.0491,16.279691396
 01/03  23:00:00,38.8562825573,4.41452535351,0.0,0.0,9.17985065927,19.4245,123.788445991,93.1709313747,16.6994,13.9181146162
 01/03  24:00:00,39.6639757973,4.41452535351,0.0,0.0,9.17985065927,19.4245,116.840533,100.984420125,8.3497,7.50641287559
 01/04  01:00:00,22.9005457371,4.41452535351,0.0,0.0,4.58992532963,8.1892,122.103253287,112.992085476,3.33988,5.77128781028
 01/04  02:00:00,14.6349593947,0.0,0.0,0.0,1.52997510988,7.4902,3.93197529277,0.0,3.33988,0.592095292773
 01/04  03:00:00,14.6510572984,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  04:00:00,14.6619666879,0.0,0.0,0.0,1.52997510988,7.4902,3.93193984681,0.0,3.33988,0.592059846808
 01/04  05:00:00,14.811956869,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  06:00:00,23.0039831858,4.41452535351,0.00644040690167,0.0,4.58992532963,8.1892,128.17396482,119.232199052,8.3497,0.592065767862
 01/04  07:00:00,38.9684860964,4.41452535351,0.0109642710798,0.0,9.17985065927,19.4245,129.965643127,108.65276534,16.6994,4.61347778731
 01/04  08:00:00,43.2660889692,4.41452535351,0.014319086916,0.0,9.17985065927,26.9147,134.746828019,91.6473528599,25.0491,18.0503751588
 01/04  09:00:00,42.2166835774,4.41452535351,0.000958050768689,0.0,9.17985065927,26.9147,129.739452234,80.0586822832,33.3988,16.2819699509
 01/04  10:00:00,34.7345543077,4.41452535351,0.0,0.0,9.17985065927,19.4245,103.279556787,64.8900463848,25.0491,13.3404104023
 01/04  11:00:00,42.2489015752,4.41452535351,0.00307328718661,0.0,9.17985065927,26.9147,105.868596418,51.9556048175,41.7485,12.1644916008
 01/04  12:00:00,43.0209788627,4.41452535351,0.0,0.0,9.17985065927,26.9147,94.2395716636,39.1497883034,41.7485,13.3412833602
 01/04  13:00:00,42.3497122707,4.41452535351,0.0,0.0,9.17985065927,26.9147,76.3390590983,22.4250243321,41.7485,12.1655347662
 01/04  14:00:00,34.8499201493,4.41452535351,0.0,0.0,9.17985065927,19.4245,60.2874493235,16.4729129158,33.3988,10.4157364077
 01/04  15:00:00,34.8656305379,4.41452535351,0.0,0.0,9.17985065927,19.4245,51.5163222895,17.2185132722,25.0491,9.24870901733
 01/04  16:00:00,34.8498790465,4.41452535351,0.0,0.0,9.17985065927,19.4245,64.6696603468,22.0240597401,33.3988,9.24680060671
 01/04  17:00:00,44.3829351348,4.41452535351,0.0122228337673,0.0,9.17985065927,26.9147,86.5756785524,27.2311218031,50.0982,9.24635674935
 01/04  18:00:00,46.4972221441,4.41452535351,0.00208035709224,0.0,9.17985065927,26.9147,87.2452427889,25.5604106264,50.0982,11.5866321624
 01/04  19:00:00,46.4979531685,4.41452535351,0.00466826775217,0.0,9.17985065927,26.9147,88.2590829251,21.2977572803,50.0982,16.8631256448
 01/04  20:00:00,39.1380209591,4.41452535351,0.0,0.0,9.17985065927,19.4245,72.4184209218,21.5524949567,33.3988,17.467125965
 01/04  21:00:00,39.1135941869,4.41452535351,0.0,0.0,9.17985065927,19.4245,70.9239705763,22.4246756246,33.3988,15.1004949517
 01/04  22:00:00,39.0333923845,4.41452535351,0.0,0.0,9.17985065927,19.4245,73.2621723228,31.3456283661,25.0491,16.8674439568
 01/04  23:00:00,38.9177228377,4.41452535351,0.0,0.0,9.17985065927,19.4245,66.8604684886,36.8205179758,16.6994,13.3405505128
 01/04  24:00:00,39.7213404616,4.41452535351,0.0,0.0,9.17985065927,19.4245,45.9777964835,30.1219925936,8.3497,7.50610388996
 01/05  01:00:00,22.9836564191,4.41452535351,0.0,0.0,4.58992532963,8.1892,51.585995738,41.8999235873,3.33988,6.34619215066
 01/05  02:00:00,14.7490767214,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  03:00:00,14.7998091076,0.0,0.0,0.0,1.52997510988,7.4902,3.93197144344,0.0,3.33988,0.592091443441
 01/05  04:00:00,14.8028287981,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  05:00:00,14.9472341181,0.0,0.0,0.0,1.52997510988,7.4902,3.93195151129,0.0,3.33988,0.592071511288
 01/05  06:00:00,23.1179630416,4.41452535351,0.0,0.0,4.58992532963,8.1892,43.2502047111,34.8805047111,8.3497,0.02
 01/05  07:00:00,39.0561590309,4.41452535351,0.0114007169525,0.0,9.17985065927,19.4245,61.2550852438,39.9411262798,16.6994,4.61455896408
 01/05  08:00:00,43.3798178195,4.41452535351,0.0232815451383,0.0,9.17985065927,26.9147,69.0117722424,25.9126023811,25.0491,18.0500698613
 01/05  09:00:00,42.3350708914,4.41452535351,0.00138590688813,0.0,9.17985065927,26.9147,69.3046430414,19.6236386762,33.3988,16.2822043652
 01/05  10:00:00,34.8734272042,4.41452535351,0.0,0.0,9.17985065927,19.4245,51.6244282483,12.6564731304,25.0491,13.9188551179
 01/05  11:00:00,42.3854211584,4.41452535351,0.00318415582536,0.0,9.17985065927,26.9147,62.8787787215,9.54431568522,41.7485,11.5859630362
 01/05  12:00:00,43.1368784043,4.41452535351,0.00616813538812,0.0,9.17985065927,26.9147,55.8546170211,0.185314464443,41.7485,13.9208025567
 01/05  13:00:00,42.6574066197,4.41452535351,0.175783465587,0.0,9.17985065927,26.9147,53.9141909208,0.0,41.7485,12.1656909208
 01/05  14:00:00,34.9279293035,4.41452535351,0.0,0.0,9.17985065927,19.4245,43.9117592117,0.0977517011153,33.3988,10.4152075106
 01/05  15:00:00,34.8857011696,4.41452535351,0.0,0.0,9.17985065927,19.4245,44.1941350794,9.89907822594,25.0491,9.24595685341
 01/05  16:00:00,34.8495041849,4.41452535351,0.0,0.0,9.17985065927,19.4245,64.398587815,22.3277997361,33.3988,8.67198807893
 01/05  17:00:00,44.3735833992,4.41452535351,0.00381803165034,0.0,9.17985065927,26.9147,88.5788398416,29.2356071516,50.0982,9.24503269005
 01/05  18:00:00,46.487634644,4.41452535351,0.0,0.0,9.17985065927,26.9147,90.4811746169,28.2175654165,50.0982,12.1654092004
 01/05  19:00:00,46.4781999359,4.41452535351,0.00116263936599,0.0,9.17985065927,26.9147,92.0879515665,25.707069967,50.0982,16.2826815995
 01/05  20:00:00,39.1070673496,4.41452535351,0.0,0.0,9.17985065927,19.4245,82.374066382,30.9248052706,33.3988,18.0504611114
 01/05  21:00:00,39.0759868796,4.41452535351,0.0,0.0,9.17985065927,19.4245,83.9856020132,35.4870986042,33.3988,15.099703409
 01/05  22:00:00,38.9864497715,4.41452535351,0.0,0.0,9.17985065927,19.4245,89.3032526356,47.9719153947,25.0491,16.2822372409
 01/05  23:00:00,38.8720247991,4.41452535351,0.0,0.0,9.17985065927,19.4245,83.1866770282,52.5658893255,16.6994,13.9213877027
 01/05  24:00:00,39.6763624253,4.41452535351,0.0,0.0,9.17985065927,19.4245,72.6307608191,56.774472727,8.3497,7.50658809201
 01/06  01:00:00,22.9149301982,4.41452535351,0.0,0.0,4.58992532963,8.1892,75.0977090585,65.4118538575,3.33988,6.34597520103
 01/06  02:00:00,14.665987808,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/06  03:00:00,14.688829282,0.0,0.0,0.0,1.52997510988,7.4902,3.93192609735,0.0,3.33988,0.592046097351
 01/06  04:00:00,14.6952577373,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/06  05:00:00,15.3582206515,0.0,0.0,0.0,1.52997510988,7.4902,3.93195793085,0.0,3.33988,0.592077930854
 01/06  06:00:00,23.5329289045,4.41452535351,0.0,0.0,4.58992532963,8.1892,77.0657571183,68.6960571183,8.3497,0.02
 01/06  07:00:00,39.214952703,4.41452535351,0.0129622499938,0.0,9.17985065927,19.4245,85.8722158389,64.5583931635,16.6994,4.61442267538
 01/06  08:00:00,43.279501515,4.41452535351,0.0136730264405,0.0,9.17985065927,26.9147,99.8398540174,56.7421018137,25.0491,18.0486522037
 01/06  09:00:00,42.2276950741,4.41452535351,0.0014621551061,0.0,9.17985065927,26.9147,104.597844144,54.9172116694,33.3988,16.2818324744
 01/06  10:00:00,34.7436756335,4.41452535351,0.0,0.0,9.17985065927,19.4245,92.9783230293,54.0085798387,25.0491,13.9206431905
 01/06  11:00:00,42.2390443497,4.41452535351,0.00231850413631,0.0,9.17985065927,26.9147,109.103395655,55.1891969126,41.7485,12.165698742
 01/06  12:00:00,43.0130683062,4.41452535351,0.0,0.0,9.17985065927,26.9147,100.454221491,45.3639087106,41.7485,13.3418127799
 01/06  13:00:00,42.303539707,4.41452535351,0.0,0.0,9.17985065927,26.9147,89.2414694654,35.3278453158,41.7485,12.1651241496
 01/06  14:00:00,34.7745466698,4.41452535351,0.0,0.0,9.17985065927,19.4245,82.8920653091,39.0776982422,33.3988,10.4155670669
 01/06  15:00:00,34.7736051811,4.41452535351,0.0,0.0,9.17985065927,19.4245,78.911516006,44.6143099736,25.0491,9.2481060324
 01/06  16:00:00,34.7571017542,4.41452535351,0.0,0.0,9.17985065927,19.4245,93.5320338091,50.8871974419,33.3988,9.24603636716
 01/06  17:00:00,44.2960907646,4.41452535351,0.00437111165976,0.0,9.17985065927,26.9147,113.135693433,53.7920551273,50.0982,9.24543830591
 01/06  18:00:00,46.4217317759,4.41452535351,0.0,0.0,9.17985065927,26.9147,115.107605514,53.4223445561,50.0982,11.5870609582
 01/06  19:00:00,46.4294883302,4.41452535351,0.00174088405213,0.0,9.17985065927,26.9147,119.166547227,52.2045500609,50.0982,16.8637971663
 01/06  20:00:00,38.9254598,4.41452535351,0.0,0.0,9.17985065927,19.4245,109.833881892,58.3857621179,33.3988,18.0493197738
 01/06  21:00:00,38.9144696409,4.41452535351,0.0,0.0,9.17985065927,19.4245,112.27579345,63.7777170185,33.3988,15.0992764318
 01/06  22:00:00,38.8704886074,4.41452535351,0.0,0.0,9.17985065927,19.4245,117.684019838,76.3528023585,25.0491,16.2821174794
 01/06  23:00:00,38.8603155872,4.41452535351,0.0,0.0,9.17985065927,19.4245,112.248298485,82.2090234039,16.6994,13.3398750809
 01/06  24:00:00,39.6670393276,4.41452535351,0.0,0.0,9.17985065927,19.4245,104.701531979,88.2690429745,8.3497,8.08278900422
