Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,531.798085588,98.107680265,61.074500684,0.0,34.9616554283,113.312780494,1148.85522067,1134.45109057,5.66466996096,8.7394601407
 01/01  02:00:00,485.803045955,98.107680265,12.1063980771,0.0,34.9616554283,113.312780494,1289.21060087,1266.08740374,5.66466996096,17.4585271643
 01/01  03:00:00,497.13096693,98.107680265,26.1868674222,0.0,34.9616554283,113.312780494,1013.24628447,990.123729237,5.66466996096,17.4578852701
 01/01  04:00:00,502.727932294,98.107680265,35.2010149205,0.0,34.9616554283,113.312780494,904.406626597,881.284756831,5.66466996096,17.4571998047
 01/01  05:00:00,516.850615872,98.107680265,44.546399717,0.0,44.4937663224,113.312780494,826.428522293,803.307347738,5.66466996096,17.4565045939
 01/01  06:00:00,532.820064089,98.107680265,65.1364734057,0.0,44.4937663224,113.312780494,766.344451116,734.726968285,14.1616749024,17.4558079287
 01/01  07:00:00,624.135602688,98.107680265,89.5590004178,0.0,54.0258772165,176.889270242,689.083340029,643.304878391,28.3233498048,17.455111833
 01/01  08:00:00,642.81745373,98.107680265,115.773675654,0.0,54.0258772165,184.38654557,652.058737176,592.11929567,42.4850247072,17.454416799
 01/01  09:00:00,741.932729241,98.107680265,144.515390478,0.0,65.1572554096,220.04316451,604.803613743,521.843914396,56.6466996096,26.3129997377
 01/01  10:00:00,777.787234566,98.107680265,191.61974205,0.0,65.1572554096,212.545889182,504.848597043,435.906224644,42.4850247072,26.4573476914
 01/01  11:00:00,849.531007771,98.107680265,253.283483294,0.0,65.1572554096,220.04316451,478.141482205,371.885087208,70.808374512,35.4480204852
 01/01  12:00:00,901.08178016,98.107680265,295.543007235,0.0,65.1572554096,220.04316451,457.352316126,359.223299505,70.808374512,27.3206421089
 01/01  13:00:00,936.784598499,98.107680265,324.317693958,0.0,65.1572554096,220.04316451,464.767176976,359.227214257,70.808374512,34.7315882071
 01/01  14:00:00,932.350965928,98.107680265,325.256438668,0.0,65.1572554096,212.545889182,449.26230726,357.155959015,56.6466996096,35.4596486356
 01/01  15:00:00,932.124986182,98.107680265,324.95640812,0.0,65.1572554096,212.545889182,431.759807348,353.820593222,42.4850247072,35.4541894183
 01/01  16:00:00,919.882189689,98.107680265,311.293379577,0.0,65.1572554096,212.545889182,446.217324536,354.1218495,56.6466996096,35.4487754261
 01/01  17:00:00,852.371441988,98.107680265,270.947754082,0.0,65.1572554096,220.04316451,496.112511976,378.899810629,84.9700494144,32.2426519325
 01/01  18:00:00,771.781238022,98.107680265,236.252176629,0.0,54.0258772165,184.38654557,556.349942795,441.742952641,84.9700494144,29.6369407396
 01/01  19:00:00,707.656464336,98.107680265,198.38564351,0.0,44.4937663224,163.454314868,645.706113697,543.281321647,84.9700494144,17.4547426359
 01/01  20:00:00,680.650788657,98.107680265,174.584456861,0.0,44.4937663224,155.95703954,671.161463938,597.060716391,56.6466996096,17.454047938
 01/01  21:00:00,642.440913284,98.107680265,164.969430419,0.0,44.4937663224,124.558693486,721.882614518,647.78256025,56.6466996096,17.4533546576
 01/01  22:00:00,638.929550051,98.107680265,161.132262979,0.0,44.4937663224,124.558693486,707.946603231,655.710430286,42.4850247072,9.75114823768
