Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,154.197754638,31.20299629,29.9533689684,0.0579575609119,34.4311606118,33.1021868926,213.360618165,63.6955852034,3.33212,146.332912962
 01/01  02:00:00,144.383761734,31.21806471,19.9239168308,0.222820452499,34.4311606118,33.1021868926,171.193608914,59.1799397896,3.33212,108.681549124
 01/01  03:00:00,123.824501119,31.21806471,16.6408847502,0.420495124933,19.466279405,30.610668775,175.390218733,56.9704766597,3.33212,115.087622073
 01/01  04:00:00,122.726283632,31.21806471,15.2997121896,0.671523962528,19.466279405,30.610668775,167.801541594,55.7786552008,3.33212,108.690766393
 01/01  05:00:00,131.57285887,31.21806471,17.3334103089,0.91009703124,19.466279405,30.610668775,204.374391928,54.9632232862,3.33212,146.079048642
 01/01  06:00:00,147.224740014,31.21806471,20.5480619842,1.10084182192,19.466279405,30.610668775,249.333535974,53.8843070133,8.3303,187.118928961
 01/01  07:00:00,229.537678268,31.21806471,31.3327004775,1.07056141476,42.6918050922,54.3732441037,326.393825243,51.5489328564,16.6606,258.184292387
 01/01  08:00:00,303.838313787,36.5548493882,57.3966764737,0.0,49.3960418185,88.5934452969,770.673423884,307.028567414,24.9909,438.65395647
 01/01  09:00:00,360.046195288,36.5653972821,87.4444791541,0.0,57.6566862989,112.030105488,978.26995868,322.301497472,33.3212,622.647261209
 01/01  10:00:00,301.870644583,36.680908439,85.3590406904,0.0,50.9524495726,81.1684271793,783.533877553,271.86437842,66.8089,444.860599132
 01/01  11:00:00,249.918645435,37.0586410611,77.9820931133,0.115970367024,42.6918050922,68.9656133826,652.48514181,232.451705695,83.4695,336.563936115
 01/01  12:00:00,246.414404781,37.3890184027,78.4451308437,0.0,38.286128036,68.9656133826,530.151219184,178.472504258,83.4695,268.209214925
 01/01  13:00:00,238.05337029,37.4405354465,71.6378756014,0.0,38.286128036,68.9656133826,414.435996659,134.626191592,83.4695,196.340305067
