Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,109.803538818,25.1777786885,6.72401256216,2.91736869518,4.12243109448,15.9888894789,89.1221509537,86.1304205359,2.97173041782,0.02
 01/02  02:00:00,102.368010907,21.9574095331,4.08530851733,6.61288898481,4.12243109448,15.9888894789,76.1887473413,73.1970169234,2.97173041782,0.02
 01/02  03:00:00,118.330961742,26.3927604403,5.28619966311,6.89498877361,4.12243109448,15.9888894789,96.34769774,93.3559673221,2.97173041782,0.02
 01/02  04:00:00,106.788038309,21.9574095331,3.68306788962,10.5007903149,4.12243109448,15.9888894789,78.2452339722,75.2535035544,2.97173041782,0.02
 01/02  05:00:00,148.854424516,31.2965564479,5.24180389936,7.26277774296,12.3672932834,24.9413748627,110.475480694,105.502596664,4.9528840297,0.02
 01/02  06:00:00,183.652737398,31.7935552644,8.31910157695,38.8003629501,12.3672932834,24.9413748627,172.475260026,167.502375996,4.9528840297,0.02
 01/02  07:00:00,232.847716032,32.3411546254,9.35776134325,29.3197575206,24.7345865669,70.7195625826,157.681020011,147.755251952,9.90576805939,0.02
 01/02  08:00:00,247.709102408,32.44600475,10.916336984,20.7664012383,37.1018798503,92.3937384068,133.111064798,123.185296739,9.90576805939,0.02
 01/02  09:00:00,248.902502829,32.5178149166,12.1359973046,17.1090256557,37.1018798503,104.434947198,120.90756702,110.98179896,9.90576805939,0.02
 01/02  10:00:00,256.398010469,32.6192108213,14.5762887822,12.8178800017,37.1018798503,116.476155989,116.950467089,98.4123732261,9.90576805939,8.63232580329
 01/02  11:00:00,255.070678124,32.768732562,17.7000321698,9.95708953753,37.1018798503,116.476155989,100.692071833,90.7663037734,9.90576805939,0.02
 01/02  12:00:00,258.375368573,32.878093481,20.5113522754,8.0799833565,37.1018798503,116.476155989,105.475230614,86.9298041157,9.90576805939,8.63965843933
 01/02  13:00:00,248.890571624,33.1025773219,21.8947612131,6.47006781457,37.1018798503,104.434947198,93.8108831921,83.8851151327,9.90576805939,0.02
 01/02  14:00:00,255.974406607,33.1670210759,22.0689843491,5.07593598191,37.1018798503,116.476155989,101.48776343,82.942213536,9.90576805939,8.6397818349
 01/02  15:00:00,250.712903317,33.3619501666,22.3592236777,3.86209385837,37.1018798503,116.476155989,96.0305844544,81.1935696848,9.90576805939,4.93124671021
 01/02  16:00:00,248.43803689,33.3553987561,21.506808236,3.19083703748,37.1018798503,116.476155989,94.3142736716,80.6845055543,9.90576805939,3.72400005793
 01/02  17:00:00,256.005516723,33.1954008984,20.2134933695,3.0581899376,37.1018798503,116.476155989,91.6209082507,81.6951401913,9.90576805939,0.02
 01/02  18:00:00,263.049385315,33.0660984788,18.9973277175,3.18150148421,37.1018798503,116.476155989,101.538661225,83.0123434354,9.90576805939,8.62054972987
 01/02  19:00:00,174.078204564,30.8281113474,13.6313405019,0.0,24.7345865669,47.5788473902,72.342828003,67.3699439733,4.9528840297,0.02
 01/02  20:00:00,172.535566228,31.2965564479,11.1846610474,0.0,24.7345865669,47.5788473902,77.9342014116,72.9613173819,4.9528840297,0.02
 01/02  21:00:00,150.404430968,29.8912211464,9.74520837792,0.00402102143221,12.3672932834,38.6892022431,91.2689158421,88.2771854243,2.97173041782,0.02
 01/02  22:00:00,125.633567394,24.9435561382,8.0606221976,0.340690934243,12.3672932834,27.0668015668,80.7190234194,77.7272930016,2.97173041782,0.02
 01/02  23:00:00,95.5903568406,19.6151840306,7.45839254374,0.0,4.12243109448,15.9888894789,71.9958624923,69.0041320744,2.97173041782,0.02
 01/02  24:00:00,113.199517717,24.5189800383,9.88949790893,0.0,4.12243109448,15.9888894789,92.4969309323,89.5052005145,2.97173041782,0.02
 01/03  01:00:00,101.510501423,21.9574095331,7.24204504765,3.41198975908,4.12243109448,15.9888894789,74.4128755191,71.4211451012,2.97173041782,0.02
 01/03  02:00:00,117.954474978,26.3927604403,8.95422462029,4.32582194099,4.12243109448,15.9888894789,93.7413404773,90.7496100595,2.97173041782,0.02
 01/03  03:00:00,104.822154103,21.9574095331,6.82892607079,7.04070281334,4.12243109448,15.9888894789,76.0081529021,73.0164224843,2.97173041782,0.02
 01/03  04:00:00,119.607559247,26.3927604403,8.22269890512,6.97614739988,4.12243109448,15.9888894789,104.591120572,93.0174808017,2.97173041782,8.60190935227
 01/03  05:00:00,150.640811099,31.7650015484,9.05251230601,7.44620341464,12.3672932834,24.9413748627,107.535149023,102.562264993,4.9528840297,0.02
 01/03  06:00:00,175.913951748,31.321112905,12.6041188134,29.3959641528,12.3672932834,24.9413748627,171.375247713,166.402363683,4.9528840297,0.02
 01/03  07:00:00,231.702981562,32.3544546394,13.0947632681,27.2876371802,24.7345865669,70.7195625826,144.811151885,134.885383826,9.90576805939,0.02
 01/03  08:00:00,244.900925238,32.4614121819,13.3547580747,19.0767959041,37.1018798503,92.3937384068,123.401759869,113.47599181,9.90576805939,0.02
 01/03  09:00:00,248.257386169,32.5508581488,15.5356682369,15.0892999884,37.1018798503,104.434947198,111.961452566,102.035684506,9.90576805939,0.02
 01/03  10:00:00,258.281578767,32.6391845417,18.0907496673,11.3668402644,37.1018798503,116.476155989,114.651182485,96.1147339404,9.90576805939,8.63068048478
 01/03  11:00:00,252.008327908,32.7732559119,19.1459955564,9.02607633186,37.1018798503,116.476155989,100.914000525,90.9882324652,9.90576805939,0.02
 01/03  12:00:00,252.389949188,33.0961034069,19.6192454586,7.59282614791,37.1018798503,116.476155989,104.143593181,85.5980531646,9.90576805939,8.63977195724
 01/03  13:00:00,240.997134705,33.4164611174,19.2921833173,6.389117361,37.1018798503,104.434947198,92.169975851,82.2442077916,9.90576805939,0.02
 01/03  14:00:00,249.815767267,33.5732069986,18.4112893385,5.33972130413,37.1018798503,116.476155989,99.3407735475,80.7951406173,9.90576805939,8.63986487085
 01/03  15:00:00,248.735201105,33.5221790825,16.9125369339,4.57311026131,37.1018798503,116.476155989,90.3055759719,80.3798079126,9.90576805939,0.02
 01/03  16:00:00,246.421504809,33.2713581269,14.7635860191,4.50052774124,37.1018798503,116.476155989,100.464533215,81.9227814699,9.90576805939,8.6359836857
 01/03  17:00:00,250.882841261,33.0200102063,12.3886778804,4.91174628185,37.1018798503,116.476155989,94.4043909909,84.4786229315,9.90576805939,0.02
 01/03  18:00:00,259.323415362,32.9352426405,9.81114721553,5.56356322244,37.1018798503,116.476155989,110.880853697,92.3545298046,9.90576805939,8.62055583252
 01/03  19:00:00,170.502128957,30.8281113474,5.81915957378,0.0,24.7345865669,47.5788473902,76.0858938682,71.1130098385,4.9528840297,0.02
 01/03  20:00:00,170.400923737,31.2965564479,4.70095207876,0.109343570637,24.7345865669,47.5788473902,80.2509371608,75.2780531311,4.9528840297,0.02
 01/03  21:00:00,148.09107113,29.8912211464,3.18168082946,0.157260473167,12.3672932834,38.6892022431,93.7322822917,90.7405518739,2.97173041782,0.02
 01/03  22:00:00,122.149976143,24.709333588,2.05794351078,1.0794025015,12.3672932834,27.0668015668,82.9817583749,79.9900279571,2.97173041782,0.02
 01/03  23:00:00,97.9498629024,21.9574095331,0.788878665527,5.35292101105,4.12243109448,15.9888894789,73.1547504798,70.163020062,2.97173041782,0.02
 01/03  24:00:00,112.454845219,26.3927604403,0.348356295379,6.47686456291,4.12243109448,15.9888894789,95.223042497,92.2313120792,2.97173041782,0.02
