Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,59.7348777247,4.32651959929,0.0,0.0,15.863942322,29.242365,101.234633871,98.0089538714,3.20568,0.02
 01/01  02:00:00,59.7974008741,4.36624767218,0.0,0.0,15.863942322,29.242365,118.959333503,115.733653503,3.20568,0.02
 01/01  03:00:00,60.6137773594,5.12144581004,0.0,0.0,15.863942322,29.242365,159.655190842,153.566400059,3.20568,2.88311078317
 01/01  04:00:00,59.8185859145,4.36624767218,0.0,0.0,15.863942322,29.242365,120.741654942,117.515974942,3.20568,0.02
 01/01  05:00:00,61.0991474043,5.37306943974,0.0,0.0,15.863942322,29.242365,167.08995296,161.00113713,3.20568,2.88313583044
 01/01  06:00:00,60.4269876504,4.81357856941,0.0,0.0,15.863942322,29.242365,122.886629608,119.660949608,3.20568,0.02
 01/01  07:00:00,61.1658622351,5.49422155774,0.0,0.0,15.863942322,29.242365,158.167372377,152.078589674,3.20568,2.88310270281
 01/01  08:00:00,54.4231528301,4.66446827033,0.0,0.0,15.863942322,29.242365,94.8026762741,91.5769962741,3.20568,0.02
 01/01  09:00:00,51.9554926985,5.03383658854,0.0,0.0,15.863942322,29.242365,98.5481967306,92.4576502111,3.20568,2.88486651948
 01/01  10:00:00,50.2413371322,3.34066044376,0.0,0.0,15.863942322,29.242365,47.5425800728,44.3169000728,3.20568,0.02
 01/01  11:00:00,49.7546201746,2.84058298685,0.0,0.0,15.863942322,29.242365,32.0280687188,25.937499202,3.20568,2.88488951682
 01/01  12:00:00,48.7315265357,1.09043910531,0.0,0.0,15.863942322,29.242365,10.5300742205,4.43952907239,3.20568,2.88486514814
 01/01  13:00:00,46.9129937825,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,46.957586287,0.0,0.0,0.0,15.863942322,29.242365,6.0905175271,0.0,3.20568,2.8848375271
 01/01  15:00:00,46.974315511,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9581598691,0.0,0.0,0.0,15.863942322,29.242365,6.08877823954,0.0,3.20568,2.88309823954
 01/01  17:00:00,51.1267805026,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.4064425287,0.0,0.0,0.0,15.863942322,29.242365,6.08879530177,0.0,3.20568,2.88311530177
 01/01  19:00:00,55.4040221031,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,56.7086237082,1.09043910531,0.0,0.0,15.863942322,29.242365,5.22837663163,2.00269663163,3.20568,0.02
 01/01  21:00:00,57.3817746164,1.77610920284,0.0,0.0,15.863942322,29.242365,17.1361335531,11.0473212013,3.20568,2.88313235181
 01/01  22:00:00,58.2400254399,2.74268039011,0.0,0.0,15.863942322,29.242365,38.4733143825,35.2476343825,3.20568,0.02
 01/01  23:00:00,58.3619420518,3.01529016644,0.0,0.0,15.863942322,29.242365,46.137403293,40.0486287781,3.20568,2.88309451495
 01/01  24:00:00,59.7243274914,3.62665000356,0.0,0.0,15.863942322,29.242365,57.9375939902,54.7119139902,3.20568,0.02
 01/02  01:00:00,59.0912236102,3.72539148015,0.0,0.0,15.863942322,29.242365,62.3471847845,56.2566153733,3.20568,2.88488941118
 01/02  02:00:00,59.7849537949,4.41078992621,0.0,0.0,15.863942322,29.242365,77.0571679737,70.9669081707,3.20568,2.88457980303
 01/02  03:00:00,59.6521632692,4.27381902559,0.0,0.0,15.863942322,29.242365,72.5559570848,69.3302770848,3.20568,0.02
 01/02  04:00:00,59.9719060306,4.58600836922,0.0,0.0,15.863942322,29.242365,89.6073625915,83.5169418753,3.20568,2.8847407162
 01/02  05:00:00,60.1104392135,4.50744361626,0.0,0.0,15.863942322,29.242365,85.9248940504,79.8343239527,3.20568,2.88489009776
 01/02  06:00:00,60.1337575011,4.54220375847,0.0,0.0,15.863942322,29.242365,91.6210602619,88.3953802619,3.20568,0.02
 01/02  07:00:00,65.4909370579,6.996125334,0.00115282437946,0.0,15.863942322,29.818365,648.434052562,642.343547909,3.20568,2.8848246529
 01/02  08:00:00,124.344977521,6.996125334,0.000320961606487,0.0,80.527626,29.818365,423.263433105,417.168481601,3.20568,2.88927150459
 01/02  09:00:00,165.696989143,6.996125334,0.00421139567487,0.0,80.527626,75.0917375,304.90664691,269.282670743,24.0426,11.5813761663
 01/02  10:00:00,165.459889252,6.996125334,0.000969280958759,0.0,80.527626,75.0917375,237.61628965,193.158771997,24.0426,20.4149176525
 01/02  11:00:00,168.952787064,6.996125334,0.0014352479525,0.0,80.527626,79.0911225,164.347655511,111.856006675,32.0568,20.4348488354
 01/02  12:00:00,169.544383898,7.00138018328,0.00178955749414,0.0,80.527626,79.0911225,108.275341424,52.8009380283,32.0568,23.4176033956
 01/02  13:00:00,169.073742693,7.28332039327,0.0,0.0,80.527626,79.0911225,94.3789654243,35.9255747099,32.0568,26.3965907144
 01/02  14:00:00,165.241719053,7.42533165349,0.0,0.0,80.527626,75.0917375,91.2050236157,48.7464627805,16.0284,26.4301608352
 01/02  15:00:00,165.575083366,7.75439392027,0.0,0.0,80.527626,75.0917375,82.8476292135,46.3974679175,16.0284,20.421761296
 01/02  16:00:00,163.516405186,7.70028870652,0.0,0.0,80.527626,73.092045,90.1607174042,63.5868880521,3.20568,23.3681493521
