Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,155.330604666,37.7157407809,0.0,0.0,43.513341876,52.539744,190.338204399,185.483944399,4.83426,0.02
 01/01  02:00:00,156.774935812,39.1533878937,0.0,0.0,43.513341876,52.539744,186.637017124,181.782757124,4.83426,0.02
 01/01  03:00:00,165.901381867,48.0935907682,0.0,0.0,43.513341876,52.539744,266.207086644,261.352826644,4.83426,0.02
 01/01  04:00:00,157.915422707,40.2621619725,0.0,0.0,43.513341876,52.539744,181.850716531,176.996456531,4.83426,0.02
 01/01  05:00:00,166.381983757,48.0935907682,0.0,0.0,43.513341876,52.539744,277.35328347,263.905705629,4.83426,8.61331784061
 01/01  06:00:00,158.34206663,40.2621619725,0.0,0.0,43.513341876,52.539744,182.968828707,178.114568707,4.83426,0.02
 01/01  07:00:00,166.40124535,48.0935907682,0.0,0.0,43.513341876,52.539744,262.335469541,257.481209541,4.83426,0.02
 01/01  08:00:00,145.11271824,39.1533878937,0.0,0.0,43.513341876,52.539744,143.641572924,138.787312924,4.83426,0.02
 01/01  09:00:00,121.448900346,21.3561349692,0.0,0.0,43.513341876,52.539744,180.246677999,175.392417999,4.83426,0.02
 01/01  10:00:00,132.826859863,32.9041811554,0.0,0.0,43.513341876,52.539744,97.1052818914,83.649665487,4.83426,8.62135640436
 01/01  11:00:00,112.378499126,12.4510317208,0.0,0.0,43.513341876,52.539744,95.2093615639,90.3551015639,4.83426,0.02
 01/01  12:00:00,109.751871921,8.97230378833,0.0,0.0,43.513341876,52.539744,44.5638990991,39.7096390991,4.83426,0.02
 01/01  13:00:00,107.327515267,7.50842377936,0.0,0.0,43.513341876,52.539744,46.514892834,33.0594636862,4.83426,8.62116914773
 01/01  14:00:00,103.887387714,4.02969584693,0.0,0.0,43.513341876,52.539744,21.5380811982,16.6838211982,4.83426,0.02
 01/01  15:00:00,103.593812934,3.72747767247,0.0,0.0,43.513341876,52.539744,16.338466805,11.484206805,4.83426,0.02
 01/01  16:00:00,103.192088012,3.37487477884,0.0,0.0,43.513341876,52.539744,13.3976226872,8.54336268725,4.83426,0.02
 01/01  17:00:00,113.255066287,4.70970927462,0.0,0.0,43.513341876,52.539744,28.2187706002,14.7711565009,4.83426,8.61335409932
 01/01  18:00:00,121.521596702,4.02969584693,0.0,0.0,43.513341876,52.539744,21.242246934,16.387986934,4.83426,0.02
 01/01  19:00:00,122.550355763,5.03711980867,0.0,0.0,43.513341876,52.539744,35.8852342881,31.0309742881,4.83426,0.02
