Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,90.2393590662,15.1447783199,0.0,0.0,3.49369000822,6.81298672936,42.3100415387,40.5387915387,1.75125,0.02
 01/01  02:00:00,94.897478956,19.8799607451,0.0,0.0,3.49369000822,6.81298672936,63.9398955413,62.1686455413,1.75125,0.02
 01/01  03:00:00,88.5183027122,13.5609779208,0.0,0.0,3.49369000822,6.81298672936,48.8345973521,45.9189986808,1.75125,1.16434867132
 01/01  04:00:00,94.728863284,20.0645631996,0.0,0.0,3.49369000822,6.81298672936,76.0923550329,74.3211050329,1.75125,0.02
 01/01  05:00:00,101.364596094,19.8799607451,0.0,0.0,3.49369000822,6.81298672936,73.5147407115,71.7434907115,1.75125,0.02
 01/01  06:00:00,94.6310929538,13.5609779208,0.0,0.0,3.49369000822,6.81298672936,53.3501284373,50.4345433719,1.75125,1.16433506542
 01/01  07:00:00,126.163634723,31.5723700947,0.0,0.0,6.98738001645,14.1499734587,552.739464817,549.216964817,3.5025,0.02
 01/01  08:00:00,125.161004537,31.5723700947,0.0,0.0,6.98738001645,14.1499734587,491.73081884,488.20831884,3.5025,0.02
 01/01  09:00:00,157.343430012,31.5723700947,0.0,0.0,6.98738001645,14.1499734587,419.003397932,414.336429081,3.5025,1.16446885111
 01/01  10:00:00,130.042812239,31.5723700947,0.0,0.0,6.98738001645,14.1499734587,373.303375426,369.780875426,3.5025,0.02
 01/01  11:00:00,164.831313164,31.5723700947,0.0,0.0,27.9495200658,27.7759469175,306.524234944,298.354512648,7.005,1.1647222957
 01/01  12:00:00,196.50011877,31.5723700947,0.0,0.0,27.9495200658,27.7759469175,269.067204222,260.897446754,7.005,1.16475746759
 01/01  13:00:00,204.354472076,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,230.883009115,220.378065151,9.34,1.16494396477
 01/01  14:00:00,201.439697726,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,219.420139979,208.915274147,9.34,1.16486583176
 01/01  15:00:00,197.557059816,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,213.972138404,203.467213282,9.34,1.16492512179
 01/01  16:00:00,193.904588315,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,217.202521405,206.697672735,9.34,1.16484867079
 01/01  17:00:00,200.099682678,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,236.032437901,226.672437901,9.34,0.02
 01/01  18:00:00,178.31549932,31.5723700947,0.0,0.0,27.9495200658,27.7759469175,292.182696918,284.012722688,7.005,1.16497422996
 01/01  19:00:00,184.784778426,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,335.210518385,329.375874741,4.67,1.1646436434
 01/01  20:00:00,164.724667325,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,356.247835047,350.413073116,4.67,1.16476193051
 01/01  21:00:00,155.885960465,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,364.996026524,360.306026524,4.67,0.02
 01/01  22:00:00,141.691169601,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,328.12648388,322.291985063,4.67,1.16449881707
 01/01  23:00:00,76.7802942606,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,112.797466181,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554105751,0.0,1.75125,1.16429105751
 01/02  01:00:00,97.5816630502,13.8839176623,0.0,0.0,3.49369000822,9.08398230582,24.7725447719,22.4175447719,2.335,0.02
 01/02  02:00:00,91.3407875244,13.8839176623,0.0,0.0,3.49369000822,9.08398230582,29.2553840534,26.9003840534,2.335,0.02
 01/02  03:00:00,87.2020312987,9.80975247153,0.00117354284895,0.0,3.49369000822,9.08398230582,24.6197628869,21.1204598383,2.335,1.16430304858
 01/02  04:00:00,93.2393652132,16.0636493863,0.0,0.0,3.49369000822,9.08398230582,40.2988897266,37.9438897266,2.335,0.02
 01/02  05:00:00,102.376304187,18.4834090505,0.0,0.0,3.49369000822,9.08398230582,41.8659651569,39.5109651569,2.335,0.02
 01/02  06:00:00,97.9381656426,14.4784685854,0.0,0.0,3.49369000822,9.08398230582,33.9591869199,30.4599022582,2.335,1.16428466165
 01/02  07:00:00,140.452724698,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,438.634552887,433.944552887,4.67,0.02
 01/02  08:00:00,139.272000103,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,384.153005492,379.463005492,4.67,0.02
 01/02  09:00:00,212.207907086,31.5723700947,0.0,0.0,34.9369000822,32.3179380704,332.776447688,323.439322502,8.1725,1.16462518645
 01/02  10:00:00,236.496294779,31.5723700947,0.0,0.0,62.886420148,41.4019203762,266.591169916,254.918747621,10.5075,1.16492229487
 01/02  11:00:00,227.648753102,31.5723700947,0.0,0.0,62.886420148,41.4019203762,219.815521699,208.142951658,10.5075,1.16507004075
 01/02  12:00:00,259.016258617,31.5723700947,0.0,0.0,62.886420148,41.4019203762,179.596141815,167.923343571,10.5075,1.16529824331
 01/02  13:00:00,239.646828926,31.5723700947,0.0,0.0,62.886420148,41.4019203762,158.766056552,145.947684212,10.5075,2.31087234047
 01/02  14:00:00,236.284214165,31.5723700947,0.0,0.0,62.886420148,41.4019203762,150.124305058,138.451315998,10.5075,1.16548906017
 01/02  15:00:00,232.630395748,31.5723700947,0.0,0.0,62.886420148,41.4019203762,141.310706583,129.637984919,10.5075,1.16522166396
 01/02  16:00:00,229.032963614,31.5723700947,0.0,0.0,62.886420148,41.4019203762,144.305538352,132.632786755,10.5075,1.16525159632
 01/02  17:00:00,235.449155942,31.5723700947,0.0,0.0,62.886420148,41.4019203762,157.423944065,145.751338028,10.5075,1.16510603695
 01/02  18:00:00,241.825208396,31.5723700947,0.0,0.0,62.886420148,41.4019203762,174.507920901,161.690102745,10.5075,2.31031815615
 01/02  19:00:00,240.44542845,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,203.538672556,193.033652447,9.34,1.16502010913
 01/02  20:00:00,223.735147817,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,227.811639358,218.451639358,9.34,0.02
 01/02  21:00:00,198.629338288,31.5723700947,0.0,0.0,34.9369000822,32.3179380704,246.539500543,237.202067753,8.1725,1.1649327906
 01/02  22:00:00,141.730149993,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,219.532621149,213.697904121,4.67,1.16471702826
 01/02  23:00:00,79.4437788363,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,115.286332419,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49933424038,0.0,2.335,1.16433424038
